Equipo;ID_Equipo;Pais;Ciudad;Veces_Campeóm;MVP_Temporadas;Entrenador_del_año;Logo
Olympiacos Piraeus;OLY;Grecia;Atenas;3;3;4;https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Olympiacos_BC_logo.svg/250px-Olympiacos_BC_logo.svg.png?_=20170923171509
Panathinaikos Athens;PAN;Grecia;Atenas;2;2;1;https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Panathinaikos_BC_logo.svg/330px-Panathinaikos_BC_logo.svg.png?_=20240601000938
Brose Baskets Bamberg;BAM;Alemania;Bamberg;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Bamberg-baskets-logo.svg/120px-Bamberg-baskets-logo.svg.png?_=20250331225328
Regal Barcelona;BAR;España;Barcelona;1;1;0;https://upload.wikimedia.org/wikipedia/en/thumb/4/47/FC_Barcelona_%28crest%29.svg/250px-FC_Barcelona_%28crest%29.svg.png?_=20120407190948
Partizan mt:s Belgrade;PAR;Serbia;Belgrado;0;0;0;https://upload.wikimedia.org/wikipedia/en/thumb/8/80/KK_Partizan_logo.svg/250px-KK_Partizan_logo.svg.png?_=20190717155844
Crvena Zvezda Telekom Belgrade;RED;Serbia;Belgrado;0;0;0;https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Red_Star_Belgrade_crest.svg/250px-Red_Star_Belgrade_crest.svg.png?_=20250201020533
Alba Berlin;VER;Alemania;Berlín;0;0;0;https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Alba_Berlin_logo.svg/330px-Alba_Berlin_logo.svg.png?_=20170923102349
Gescrap Bilbao Basket;BIL;España;Bilbao;0;0;0;https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Surne_Bilbao_Basket.svg/120px-Surne_Bilbao_Basket.svg.png?_=20250706124450
Virtus Segafredo Bologna;VIR;Italia;Bolonia;0;0;0;https://upload.wikimedia.org/wikipedia/en/0/08/BC_Fortitudo_Bologna_logo.gif?_=20110507100105
Bennet Cantu;CTU;Italia;Cantú;0;0;0;https://upload.wikimedia.org/wikipedia/en/c/c7/Pallacanestro_Cant%C3%B9_Logo.png?_=20231110081005
Elan Chalon-Sur-Saone;CHL;Francia;Chalon-sur-Saône;0;0;0;https://upload.wikimedia.org/wikipedia/en/e/ed/%C3%89lan_Chalon_logo_%282018%29.png?_=20180802220248
Spirou Charleroi;CHA;Bélgica;Charleroi;0;0;0;https://upload.wikimedia.org/wikipedia/en/5/53/Belgacom_Spirou_logo.png?_=20200419004903
Cholet Basket;CHO;Francia;Cholet;0;0;0;https://upload.wikimedia.org/wikipedia/en/f/f8/Cholet_Basket_2019_logo.png?_=20190820103844
Dubai Basketball;DUB;Emiratos Árabes;Dubai;0;0;0;https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Dubai_Basketball.svg/120px-Dubai_Basketball.svg.png?_=20250712065006
