Temporada;ID_Equipo;Fase;Entrenador;Partidos;W;L;%_Wins;PPG;Asist_PG;Perd_PG;Robos_PG;Tapones_PG;AST/TO_Ratio;AST%;Reb_Off_PG;Reb_Def_PG;Rebotes;REB%_Total;Val_PG;T2a_PG;T2i_PG;%T2;T3a_PG;T3i_PG;%T3;T1a_PG;T1i_PG;%T1;%_Pts_Triple;%_Pts_Dos;%_Pts_TL;Pace_Medio;ORTG;DRTG;NetRTG;eFG%;TS%;3PAr;FTr;ORB%;DRB%;Pts_Permitidos_PG;eFG%_Ol;TOV%_Ol;OREB%_Ol;FT/FGA_Ol;eFG_opp%_Ol;TOV_opp%_Ol;DREB%_Ol;FT/FGA_opp_Ol;Equipo_FGA;Equipo_FTA;Equipo_TOV
E2010;BAM;Regular Season;FLEMING, CHRIS;10;4;6;40,0;71,4;13,3;13,7;6,2;2,8;0,97;51,95;7,6;25,2;32,8;46,86;71,0;18,3;35,6;51,4;7,3;21,9;33,3;12,9;17,7;72,9;30,7;51,3;18,1;71,59;100,02;102,94;-2,92;50,87;54,68;0,381;0,308;22,62;69,23;73,9;0,5087;0,1734;0,2262;0,2243;0,4854;0,1542;0,6923;0,2269;575,0;177,0;137,0
E2010;BAM;TODAS;FLEMING, CHRIS;10;4;6;40,0;71,4;13,3;13,7;6,2;2,8;0,97;51,95;7,6;25,2;32,8;99,7;71,0;18,3;35,6;51,4;7,3;21,9;33,33;12,9;17,7;72,88;30,67;51,26;18,07;71,59;100,02;102,94;-2,92;50,87;54,68;0,381;0,308;22,62;69,23;73,9;0,51;0,17;0,23;0,224;0,49;0,15;0,69;0,227;575,0;177,0;137,0
E2010;BAR;Playoffs;PASCUAL, XAVI;4;1;3;25,0;73,75;13,75;12,25;5,5;2,25;1,12;54,46;8,5;20,0;28,5;46,15;72,25;16,75;33,0;50,8;8,5;23,25;36,6;14,75;21,0;70,2;34,6;45,4;20,0;68,88;106,51;113,49;-6,97;52,44;56,31;0,413;0,373;26,15;68,38;77,75;0,5244;0,1576;0,2615;0,2622;0,5528;0,1704;0,6838;0,3211;225,0;84,0;49,0
E2010;BAR;Regular Season;PASCUAL, XAVI;10;7;3;70,0;76,6;14,8;12,4;6,4;3,4;1,19;53,62;8,6;23,2;31,8;49,84;88,5;22,4;37,9;59,1;5,2;18,4;28,3;16,2;20,5;79,0;20,4;58,5;21,1;68,64;110,82;104,01;6,81;53,64;58,63;0,327;0,364;28,1;69,88;70,9;0,5364;0,1595;0,281;0,2877;0,4966;0,1561;0,6988;0,2293;563,0;205,0;124,0
E2010;BAR;TODAS;PASCUAL, XAVI;20;14;6;70,0;76,6;14,75;12,5;6,5;3,2;1,18;54,03;8,45;23,4;31,85;99,84;86,9;20,65;36,2;57,04;6,65;20,1;33,08;15,35;20,15;76,17;26,04;53,91;20,04;69,05;110,67;103,27;7,4;54,39;58,77;0,357;0,358;27,4;70,18;71,1;0,54;0,16;0,27;0,273;0,5;0,16;0,7;0,227;427,9;153,5;94,9
E2010;BAR;Top 16;PASCUAL, XAVI;6;6;0;100,0;78,5;15,33;12,83;7,33;3,5;1,19;54,44;8,17;26,0;34,17;51,51;94,0;20,33;35,5;57,3;7,83;20,83;37,6;14,33;19,0;75,4;29,9;51,8;18,3;69,86;113,18;95,22;17,95;56,95;60,67;0,37;0,337;27,07;71,89;67,0;0,5695;0,1655;0,2707;0,2544;0,4778;0,1739;0,7189;0,1611;338,0;114,0;77,0
E2010;BAS;Playoffs;IVANOVIC, DUSKO;4;1;3;25,0;73,5;15,25;12,5;4,0;2,0;1,22;57,01;7,75;24,0;31,75;47,92;78,75;17,75;36,0;49,3;9,0;21,5;41,9;11,0;15,5;71,0;36,7;48,3;15,0;69,18;106,41;120,16;-13,75;54,35;57,14;0,374;0,27;23,85;71,11;83,25;0,5435;0,1627;0,2385;0,1913;0,5741;0,1012;0,7111;0,1179;230,0;62,0;50,0
E2010;BAS;Regular Season;IVANOVIC, DUSKO;10;5;5;50,0;80,9;15,1;12,3;5,2;2,8;1,23;51,19;10,4;24,0;34,4;49,71;87,9;22,2;41,6;53,4;7,3;20,5;35,6;14,6;19,0;76,8;27,1;54,9;18,0;71,61;111,8;110,65;1,16;53,38;57,41;0,33;0,306;31,61;66,12;78,4;0,5338;0,1486;0,3161;0,2351;0,5102;0,1383;0,6612;0,2047;621,0;190,0;123,0
E2010;BAS;TODAS;IVANOVIC, DUSKO;20;10;10;50,0;78,55;15,0;12,65;5,05;2,35;1,19;52,64;9,6;24,55;34,15;99,85;85,55;19,85;38,1;52,1;8,65;22,05;39,23;12,9;17,4;74,13;33,04;50,54;16,42;70,7;110,83;110,19;0,64;54,57;57,92;0,367;0,289;29,72;70,19;77,7;0,55;0,16;0,3;0,214;0,52;0,14;0,7;0,191;462,1;136,2;95,5
E2010;BAS;Top 16;IVANOVIC, DUSKO;6;4;2;66,7;78,0;14,67;13,33;5,5;1,83;1,1;52,38;9,5;25,83;35,33;54,36;86,17;17,33;33,67;51,5;10,67;25,0;42,7;11,33;16,0;70,8;41,0;44,4;14,5;70,21;112,17;102,77;9,4;56,82;59,35;0,426;0,273;30,48;76,35;72,83;0,5682;0,1687;0,3048;0,1932;0,5042;0,1564;0,7635;0,2157;352,0;96,0;80,0
E2010;CHA;Regular Season;BOZZI, GIOVANNI;10;3;7;30,0;69,1;13,6;14,2;7,6;1,9;0,96;53,54;9,0;22,9;31,9;46,43;64,7;19,2;40,7;47,2;6,2;20,6;30,1;12,1;16,9;71,6;26,9;55,6;17,5;73,43;93,46;105,03;-11,57;46,49;50,26;0,336;0,276;24,19;72,7;76,6;0,4649;0,1712;0,2419;0,1974;0,5234;0,1693;0,727;0,2321;613,0;169,0;142,0
E2010;CHA;TODAS;BOZZI, GIOVANNI;10;3;7;30,0;69,1;13,6;14,2;7,6;1,9;0,96;53,54;9,0;22,9;31,9;99,69;64,7;19,2;40,7;47,17;6,2;20,6;30,1;12,1;16,9;71,6;26,92;55,57;17,51;73,43;93,46;105,03;-11,57;46,49;50,26;0,336;0,276;24,19;72,7;76,6;0,46;0,17;0,24;0,197;0,52;0,17;0,73;0,232;613,0;169,0;142,0
E2010;CHO;Regular Season;KUNTER, ERMAN;10;4;6;40,0;70,5;12,2;14,8;5,0;2,9;0,82;45,69;15,1;21,5;36,6;52,51;67,2;22,6;47,3;47,8;4,1;14,2;28,9;13,0;19,2;67,7;17,4;64,1;18,4;69,04;101,22;113,11;-11,89;46,75;50,39;0,231;0,312;40,81;65,75;77,4;0,4675;0,1746;0,4081;0,2114;0,5162;0,1469;0,6575;0,2884;615,0;192,0;148,0
E2010;CHO;TODAS;KUNTER, ERMAN;10;4;6;40,0;70,5;12,2;14,8;5,0;2,9;0,82;45,69;15,1;21,5;36,6;99,73;67,2;22,6;47,3;47,78;4,1;14,2;28,87;13,0;19,2;67,71;17,45;64,11;18,44;69,04;101,22;113,11;-11,89;46,75;50,39;0,231;0,312;40,81;65,75;77,4;0,47;0,17;0,41;0,211;0,52;0,15;0,66;0,288;615,0;192,0;148,0
E2010;CIB;Regular Season;RADULOVIC, ZDRAVKO;10;0;10;0,0;67,7;10,3;14,9;6,0;1,0;0,69;41,7;9,0;19,4;28,4;43,76;60,9;18,8;39,2;48,0;5,9;19,2;30,7;12,4;16,2;76,5;26,1;55,5;18,3;71,98;94,78;118,28;-23,5;47,35;51,66;0,329;0,277;25,79;64,67;85,8;0,4735;0,1853;0,2579;0,2123;0,5994;0,1648;0,6467;0,1763;584,0;162,0;149,0
E2010;CIB;TODAS;RADULOVIC, ZDRAVKO;10;0;10;0,0;67,7;10,3;14,9;6,0;1,0;0,69;41,7;9,0;19,4;28,4;99,65;60,9;18,8;39,2;47,96;5,9;19,2;30,73;12,4;16,2;76,54;26,14;55,54;18,32;71,98;94,78;118,28;-23,5;47,35;51,66;0,329;0,277;25,79;64,67;85,8;0,47;0,19;0,26;0,212;0,6;0,16;0,65;0,176;584,0;162,0;149,0
E2010;CSK;Regular Season;SHAKULIN, DIMITRY;10;3;7;30,0;68,3;12,4;14,9;5,0;2,4;0,83;51,03;9,3;24,3;33,6;51,06;70,8;17,5;34,0;51,5;6,8;21,0;32,4;12,9;18,8;68,6;29,9;51,2;18,9;68,93;99,17;107,41;-8,24;50,36;53,97;0,382;0,342;28,79;72,54;74,1;0,5036;0,1906;0,2879;0,2345;0,5214;0,1535;0,7254;0,226;550,0;188,0;149,0
E2010;CSK;TODAS;SHAKULIN, DIMITRY;10;3;7;30,0;68,3;12,4;14,9;5,0;2,4;0,83;51,03;9,3;24,3;33,6;99,7;70,8;17,5;34,0;51,47;6,8;21,0;32,38;12,9;18,8;68,62;29,87;51,24;18,89;68,93;99,17;107,41;-8,24;50,36;53,97;0,382;0,342;28,79;72,54;74,1;0,5;0,19;0,29;0,234;0,52;0,15;0,73;0,226;550,0;188,0;149,0
E2010;IST;Regular Season;PERASOVIC, VELIMIR;10;5;5;50,0;75,6;13,3;14,7;6,3;1,6;0,9;51,15;11,1;22,9;34,0;52,55;77,4;18,9;39,2;48,2;7,1;18,2;39,0;16,5;19,9;82,9;28,2;50,0;21,8;69,98;108,38;109,41;-1,03;51,48;57,14;0,317;0,347;35,24;68,98;76,8;0,5148;0,1818;0,3524;0,2875;0,5153;0,1528;0,6898;0,2712;574,0;199,0;147,0
E2010;IST;TODAS;PERASOVIC, VELIMIR;16;7;9;43,75;73,88;13,94;14,62;6,87;1,69;0,95;54,79;11,56;22,25;33,81;99,82;77,37;18,81;38,44;48,94;6,62;18,81;35,21;16,38;20,25;80,88;26,9;50,93;22,17;69,34;106,7;110,07;-3,37;50,22;55,83;0,329;0,354;35,18;66,34;76,44;0,5;0,18;0,35;0,286;0,51;0,15;0,66;0,255;487,0;171,25;124,5
E2010;IST;Top 16;PERASOVIC, VELIMIR;6;2;4;33,3;71,0;15,0;14,5;7,83;1,83;1,03;61,22;12,33;21,17;33,5;48,32;77,33;18,67;37,17;50,2;5,83;19,83;29,4;16,17;20,83;77,6;24,6;52,6;22,8;68,27;103,9;111,17;-7,27;48,1;53,65;0,348;0,365;35,07;61,95;75,83;0,481;0,1798;0,3507;0,2836;0,5138;0,156;0,6195;0,2293;342,0;125,0;87,0
E2010;KHI;Regular Season;MELESHCHENKO, OLEG;10;4;6;40,0;76,4;12,6;12,7;6,6;3,8;0,99;46,84;9,8;25,1;34,9;49,09;80,3;19,0;36,9;51,5;7,9;22,4;35,3;14,7;21,3;69,0;31,0;49,7;19,2;71,74;106,75;104,72;2,02;52,02;55,63;0,378;0,359;28,16;69,15;75,3;0,5202;0,1561;0,2816;0,2479;0,4917;0,1576;0,6915;0,2612;593,0;213,0;127,0
E2010;KHI;TODAS;MELESHCHENKO, OLEG;10;4;6;40,0;76,4;12,6;12,7;6,6;3,8;0,99;46,84;9,8;25,1;34,9;99,71;80,3;19,0;36,9;51,49;7,9;22,4;35,27;14,7;21,3;69,01;31,02;49,74;19,24;71,74;106,75;104,72;2,03;52,02;55,63;0,378;0,359;28,16;69,15;75,3;0,52;0,16;0,28;0,248;0,49;0,16;0,69;0,261;593,0;213,0;127,0
