ID_Equipo;Partidos_Jugados;W;L;%_Wins;PPG;Asist_PG;Perd_PG;Reb_Off_PG;Reb_Def_PG;REB%_Total;%T2;%T3;%T1;%_Pts_Triple;%_Pts_Dos;%_Pts_TL;Pace_Medio;ORTG;DRTG;NetRTG;eFG%;TS%;3PAr;FTr;ORB%;DRB%;Puntos_Totales;Rebotes_Totales;Asistencias_Totales
ASV;234;71;163;30,34;76,87;16,37;13,39;9,87;22,22;48,31;52,59;34,8;76,63;31,1;51,65;17,25;71,79;107,08;115,92;-8,84;52,44;56,3;0,378;0,285;29,11;68,33;17988;7510;3832
BAM;138;47;91;34,06;76,57;16,14;12,6;8,54;23,36;48,2;51,28;37,75;77,37;31,77;50,67;17,56;71;107,84;112,44;-4,6;53,22;57,18;0,362;0,293;26,26;69,43;10566;4402;2227
BAR;518;333;185;64,29;80,34;18,12;12,63;10,29;24,19;51,52;54,08;37,68;76,6;32,17;51,3;16,52;70,93;113,27;107,03;6,24;55;58,56;0,375;0,284;31,18;71,31;41615;17864;9384
BAS;475;224;251;47,16;81,26;17,56;12,81;10,67;24,16;50,68;53,81;36;76,63;33,29;49,93;16,78;72,71;111,75;112,06;-0,31;53,88;57,57;0,399;0,284;31,02;70,38;38596;16545;8342
BER;246;75;171;30,49;77,33;18,16;14,67;11;22,57;49,75;51,84;35,46;77,24;33,02;51,5;15,47;72,9;106,08;114,74;-8,66;52,36;55,85;0,385;0,248;31,67;68,94;19024;8260;4468
BES;24;7;17;29,17;66,34;12,92;14,71;10,46;22,08;48,15;47,46;32,88;63,87;31,85;51,51;16,65;69,27;95,76;111,42;-15,66;48,15;51,01;0,373;0,301;29,89;67,75;1592;781;310
BIL;20;10;10;50;75,45;14,9;13,8;9,1;23,85;50,61;54,89;33,59;79,38;25,84;55,8;18,36;70,08;107,66;107,02;0,64;53,38;57,7;0,335;0,302;28,79;71,2;1509;659;298
BUD;30;6;24;20;74,33;14,73;11,83;9,9;21,6;47,68;48,18;38,13;72,31;32,17;53,55;14,3;70,6;105,28;120,12;-14,84;51,21;54,12;0,336;0,236;29,04;67,56;2230;945;442
CAN;30;8;22;26,67;77,73;17,33;13,2;10,5;20,9;46,59;51,32;34,13;73,1;34,08;49,48;16,43;73,72;105,44;119,42;-13,98;51,27;54,72;0,408;0,276;29,41;65,93;2332;942;520
CED;44;13;31;29,55;73,93;15,45;13,61;10,16;22,91;48,53;51,25;33,45;73,58;29,06;55,27;15,68;71,66;103,17;111,86;-8,69;50,88;54,2;0,349;0,257;29,27;68,53;3253;1455;680
CHA;20;5;15;25;71;13,2;14,1;8,65;23;47,03;48,95;32,77;67,77;28,52;55,63;15,85;73,7;96,33;107,94;-11,61;49,02;52,01;0,338;0,272;25,74;68,26;1420;633;264
CHL;10;3;7;30;78,2;14,8;16,2;11,2;24,2;50,79;49,48;33,6;73,89;32,23;48,59;19,18;77,33;101,12;109,23;-8,11;49,84;54,06;0,394;0,32;31,81;70,17;782;354;148
CHO;10;4;6;40;70,5;12,2;14,8;15,1;21,5;52,51;47,78;28,87;67,71;17,45;64,11;18,44;69,65;101,22;113,11;-11,89;46,75;50,39;0,231;0,312;39,46;68,41;705;366;122
CIB;10;0;10;0;67,7;10,3;14,9;9;19,4;43,76;47,96;30,73;76,54;26,14;55,54;18,32;71,43;94,78;118,28;-23,5;47,35;51,66;0,329;0,277;26,05;63,92;677;284;103
CSK;350;260;90;74,29;84,18;17,89;12,65;10,42;24,23;51,73;54,33;39,37;78,03;32,28;49;18,71;72,08;116,78;106,91;9,87;56,11;60,25;0,377;0,331;31,52;71,41;29462;12126;6261
CTU;26;11;15;42,31;71,23;14,92;11,23;8,96;21,92;47,63;47,85;36,69;75,67;31,26;50,43;18,31;67,62;105,34;108,64;-3,3;50,37;54,5;0,35;0,298;27,37;68,27;1852;803;388
DAR;88;31;57;35,23;76,06;15,66;12,97;11,01;23,04;49,02;50,32;34,82;71,81;30,67;52,18;17,17;71,71;106,05;113,13;-7,08;51,01;54,51;0,362;0,294;30,76;68,44;6693;2997;1378
DUB;38;19;19;50;88,13;18,92;10,68;10,42;24,55;49,65;55,22;34,9;81,42;28,05;50,29;21,68;74,33;118,57;118,44;0,13;54,16;59,49;0,37;0,368;29,57;69,77;3349;1329;719
DYR;90;44;46;48,89;75,8;17,22;12,93;10,36;21,79;50,51;54,2;35,63;74,96;34,74;48,99;16,27;68,71;110,32;111,12;-0,8;53,89;57,31;0,418;0,279;31,96;69,75;6822;2893;1550
GAL;97;37;60;38,14;74,84;16,26;11,99;10,06;22,72;47,96;50,13;35,47;74,77;31,37;52,05;16,58;70,14;106,7;112,99;-6,29;51,25;54,86;0,362;0,273;28,78;68,04;7259;3180;1577
GSS;20;4;16;20;68,55;16,05;13,15;10,05;22,7;48,77;50,31;30,77;73,2;27,13;59,52;13,35;69,3;98,92;111,67;-12,75;48,93;51,77;0,332;0,206;29,45;68,75;1371;655;321
HTA;42;24;18;57,14;87,31;17,26;12,05;8,88;24,24;48,84;58,92;36,92;79,46;30,84;52,73;16,42;74,49;117,21;114,47;2,74;57,56;61,21;0,384;0,285;26,77;69,96;3667;1391;725
IST;494;253;241;51,21;80,72;17,12;11,86;9,85;23,31;49,22;53,51;37,27;77,61;32,77;50,54;16,69;71,44;113;111,71;1,29;54,43;58,14;0,383;0,281;29,14;69,44;39877;16381;8455
KHI;184;72;112;39,13;79,73;18,33;12,61;9,74;22,75;47,8;53,72;35,96;76,49;35,15;48,6;16,25;72,37;110,16;113,3;-3,14;53,81;57,36;0,419;0,273;28,17;68,12;14670;5977;3372
