ID Jugador;ID_Equipo;Partidos_Jugados;Puntos;Asistencias;Reb_Off;Reb_Def;Rebotes;T2%;T3%;T1%;%_Pts_T2;%_Pts_T3;%_Pts_T1;Robos;Perdidas;Tapones;Tapones_Recibidos;Faltas_Cometidas;Faltas_Recibidas;Valoracion_PIR;eFG%;TS%;3PAr;AST_TO_Ratio;PPM;Game_Score;Minutos_Dec;Puntos_totales;Asistencias_totales;Rebotes_totales;Robos_totales;Tapones_totales;Perdidas_totales;Triples_metidos_totales;Tiros_media_distancia_metidos_totales;valoracion_total
5985;BAS, CSK, MCO, MIL, PAN;362;16,34;4,9;0,46;2,77;3,24;48,42;33,33;80,79;43,5;33,7;22,77;1,01;2,16;0,07;0,51;1,85;4,38;17,07;49,1;54,93;0,429;2,27;0,57;11,9;28,75;5916;1773;1171;367;26;782;665;1287;6181
2100;ASV, CSK, PAM, ULK;357;14,55;3,66;0,34;2,22;2,56;54,49;41,16;93,49;43,44;32,03;24,56;1,06;2,49;0,06;0,44;1,84;4,45;16,46;57,35;64,63;0,394;1,47;0,6;10,97;24,24;5193;1305;915;377;22;890;554;1128;5875
1926;OLY, PAN, ULK;463;9,54;4,5;0,35;1,84;2,18;48,33;39,55;89,43;37,12;37,83;25,03;0,64;1,88;0,07;0,3;1,69;2,92;11,97;53,32;60,54;0,454;2,39;0,42;8;22,91;4416;2082;1011;297;31;870;557;820;5541
796;BAR, MAD, MCO, MIL;306;14,41;1,23;1,41;3,79;5,2;58,81;39,92;85,48;43,13;32,77;24,09;0,89;1,43;0,46;0,24;2;3,72;17,12;59,27;65,42;0,427;0,85;0,6;11,56;24,17;4410;375;1592;274;142;439;482;951;5238
925;BAR, PAR, ULK;375;10,97;1,66;1,72;2,93;4,64;61,37;31,74;66,56;78,68;2,57;18,77;1,01;1,33;0,55;0,17;2,72;3,21;13,87;60,81;63,13;0,04;1,25;0,45;9,41;24,15;4115;621;1741;379;208;499;35;1619;5201
TGB;MAD;435;9,2;3,33;0,27;1,3;1,57;45,14;32,45;81,12;32,78;49,87;17,36;0,5;1,2;0,04;0,17;1,74;2,21;8,37;47,21;51,58;0,585;2,78;0,43;6,18;21,51;4002;1449;684;218;18;522;665;656;3641
1133;BAR, BAS, CHA, CSK, VIR;317;12,39;2,3;1,47;3,32;4,79;54,2;34,5;73,83;60,61;16,78;22,59;0,87;2,06;0,37;0,52;2,43;4,25;14,47;53,64;58,42;0,225;1,11;0,5;9,25;24,92;3929;728;1518;276;118;654;220;1191;4588
7200;BAS, IST;259;14,77;4,58;0,35;2,28;2,63;51,52;40,62;87,07;31,84;46,41;21,75;1,13;2,17;0,07;0,41;1,43;4,2;17,34;56,71;62,52;0,552;2,11;0,52;11,87;28,63;3826;1185;682;292;19;563;592;609;4490
4888;BAR, CSK, DAR, IST, VIR;276;13,77;1,74;1,24;3,91;5,15;49,31;35,31;76,43;48,33;31,03;20,65;0,93;1,58;0,21;0,43;1,85;4,09;15,12;50,68;55,44;0,374;1,1;0,5;9,8;27,72;3800;479;1422;258;58;435;393;918;4174
3469;BAR, OLY;305;12,1;1,17;1,18;3,53;4,71;62,96;39,39;87,33;48,07;34,28;17,63;0,66;0,7;0,19;0,15;1,26;2,15;14,71;61,28;65,73;0,432;1,66;0,54;10,29;22,42;3691;358;1437;200;58;215;422;887;4487
