ID Temporada;ID Jugador;Fase;Equipo;ID_Equipo;Partidos_Jugados;Puntos;Asistencias;Reb_Off;Reb_Def;Rebotes;OREB%;DREB%;T2a;T2i;T2%;T3a;T3i;T3%;T1a;T1i;T1%;%_Pts_T2;%_Pts_T3;%_Pts_T1;Robos;Perdidas;Tapones;Tapones_Recibidos;Faltas_Cometidas;Faltas_Recibidas;Valoracion_PIR;Mas_Menos;eFG%;TS%;2PAr;3PAr;1PAr;AST_TO_Ratio;PPM;Game_Score;Minutos_Dec
E2010;118;Regular Season;Brose Baskets Bamberg;BAM;10;0,8;0,3;0,1;0,5;0,6;0,31;1,83;0,1;0,4;25,0;0,2;1,0;20,0;0,0;0,0;0,0;25,0;75,0;0,0;0,2;0,4;0,0;0,2;1,0;0,5;-0,3;0,0;28,6;24,7;0,286;0,714;0,0;0,75;0,09;-0,23;9,25
E2010;118;TODAS;Brose Baskets Bamberg;BAM;10;0,8;0,3;0,1;0,5;0,6;0,31;1,83;0,1;0,4;25,0;0,2;1,0;20,0;0,0;0,0;0,0;25,0;75,0;0,0;0,2;0,4;0,0;0,2;1,0;0,5;-0,3;0,0;28,57;28,57;0,286;0,714;0,0;0,75;0,09;-0,23;9,25
E2010;1252;Regular Season;Brose Baskets Bamberg;BAM;10;8,3;1,9;0,5;1,6;2,1;1,68;4,96;2,2;4,3;51,2;1,1;3,3;33,3;0,6;0,7;85,7;53,0;39,8;7,2;0,6;0,8;0,0;0,5;2,4;0,9;5,7;0,0;50,7;52,5;0,518;0,434;0,084;2,37;0,27;5,26;30,75
E2010;1252;TODAS;Brose Baskets Bamberg;BAM;10;8,3;1,9;0,5;1,6;2,1;1,68;4,96;2,2;4,3;51,16;1,1;3,3;33,33;0,6;0,7;85,71;53,01;39,76;7,23;0,6;0,8;0,0;0,5;2,4;0,9;5,7;0,0;50,66;52,48;0,566;0,434;0,092;2,38;0,27;5,26;30,75
E2010;2090;Regular Season;Brose Baskets Bamberg;BAM;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;-1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-1,0;1,65
E2010;2090;TODAS;Brose Baskets Bamberg;BAM;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;-1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-1,0;1,65
E2010;2091;Regular Season;Brose Baskets Bamberg;BAM;10;12,8;2,3;0,3;2,0;2,3;0,88;6,26;2,7;5,5;49,1;1,2;4,0;30,0;3,8;4,1;92,7;42,2;28,1;29,7;0,9;1,6;0,0;0,4;2,0;4,0;12,4;0,0;47,4;56,6;0,404;0,421;0,301;1,44;0,54;8,51;23,74
E2010;2091;TODAS;Brose Baskets Bamberg;BAM;10;12,8;2,3;0,3;2,0;2,3;0,88;6,26;2,7;5,5;49,09;1,2;4,0;30,0;3,8;4,1;92,68;42,19;28,12;29,69;0,9;1,6;0,0;0,4;2,0;4,0;12,4;0,0;47,37;56,62;0,579;0,421;0,432;1,44;0,54;8,51;23,74
E2010;2092;Regular Season;Brose Baskets Bamberg;BAM;4;1,75;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,5;100,0;0,25;1,0;25,0;0,0;0,0;0,0;57,1;42,9;0,0;0,0;0,5;0,0;0,0;0,75;0,0;-0,25;0,0;58,3;50,9;0,333;0,667;0,0;0,0;0,39;0,2;4,49
E2010;2092;TODAS;Brose Baskets Bamberg;BAM;4;1,75;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,5;100,0;0,25;1,0;25,0;0,0;0,0;0,0;57,14;42,86;0,0;0,0;0,5;0,0;0,0;0,75;0,0;-0,25;0,0;58,33;58,33;0,333;0,667;0,0;0,0;0,39;0,2;4,49
